Date,Close,High,Low,Open,Volume,Symbol,Company
2024-04-10,87.00436401367188,87.36522041356919,83.67568736757892,83.89260387924026,431929000,NVDA,NVIDIA Corporation
2024-04-11,90.57994079589844,90.7028929518332,86.89141424964939,87.38521335302488,431637000,NVDA,NVIDIA Corporation
2024-04-12,88.15090942382812,90.13912407740513,87.49517220347197,89.66330791705667,426805000,NVDA,NVIDIA Corporation
2024-04-15,85.96676635742188,90.57693004152914,85.89479642060273,89.06253370435367,443077000,NVDA,NVIDIA Corporation
2024-04-16,87.38021850585938,88.08293408447673,86.02975814283229,86.39860698604153,370453000,NVDA,NVIDIA Corporation
2024-04-17,84.0015640258789,88.73967572558121,83.91659113831582,88.30484363707065,495400000,NVDA,NVIDIA Corporation
2024-04-18,84.6373062133789,86.15570660849322,82.36921187685391,84.93619083803762,447260000,NVDA,NVIDIA Corporation
2024-04-19,76.16968536376953,84.2904542682202,75.57592750797775,83.11692530020838,875198000,NVDA,NVIDIA Corporation
2024-04-22,79.48635864257812,80.041138120895,76.36960303384217,78.07291978914027,596341000,NVDA,NVIDIA Corporation
2024-04-23,82.39020538330078,82.73606840189474,80.23206773575617,80.73686408123375,438559000,NVDA,NVIDIA Corporation
2024-04-24,79.64530181884766,84.04854803404984,79.15149506612265,83.91659676863443,512208000,NVDA,NVIDIA Corporation
2024-04-25,82.59912872314453,83.28984807445538,78.19187862968657,78.83661866147602,424641000,NVDA,NVIDIA Corporation
2024-04-26,87.70008850097656,88.29585200771425,83.35381911384516,83.78464736334433,551011000,NVDA,NVIDIA Corporation
2024-04-29,87.72208404541016,87.95698351937455,85.23207030725735,87.56014594501862,388971000,NVDA,NVIDIA Corporation
2024-04-30,86.36762237548828,88.78366050463956,86.26566558321609,87.20528638548105,363709000,NVDA,NVIDIA Corporation
2024-05-01,83.00794982910156,85.96577177323404,81.22265755025684,85.04314260728708,559863000,NVDA,NVIDIA Corporation
2024-05-02,85.78285217285156,86.20268321187375,83.16688916320159,84.41539269757547,377898000,NVDA,NVIDIA Corporation
2024-05-03,88.75366973876953,89.24547072408387,87.00536516764065,87.75406766785412,398341000,NVDA,NVIDIA Corporation
2024-05-06,92.10333251953125,92.18330251406795,89.01956110232028,89.35442687478945,376203000,NVDA,NVIDIA Corporation
2024-05-07,90.51795959472656,91.74446861486086,88.97557445393352,91.06174179688814,437342000,NVDA,NVIDIA Corporation
2024-05-08,90.37602233886719,91.15770881690996,89.38441272091335,89.44739118815833,325721000,NVDA,NVIDIA Corporation
2024-05-09,88.71168518066406,91.03575690690285,88.19589167973308,90.49297372342349,378013000,NVDA,NVIDIA Corporation
2024-05-10,89.84223175048828,91.36462830200051,89.19148983724465,90.26906377983879,335325000,NVDA,NVIDIA Corporation
2024-05-13,90.36302947998047,90.96179014293932,88.49377086608031,90.44199279647063,289680000,NVDA,NVIDIA Corporation
2024-05-14,91.31965637207031,91.61453717454157,88.89861527885883,89.56335162049751,296507000,NVDA,NVIDIA Corporation
2024-05-15,94.59234619140625,94.82425614143621,91.56255392471043,92.43520767663021,417735000,NVDA,NVIDIA Corporation
2024-05-16,94.32144927978516,95.78086733108053,94.06554682786754,94.87223250076393,323952000,NVDA,NVIDIA Corporation
2024-05-17,92.44219207763672,94.70229384560606,91.76946339148994,94.33144692377931,359691000,NVDA,NVIDIA Corporation
2024-05-20,94.7422866821289,95.16211773763297,93.40282351656103,93.71269772995323,318764000,NVDA,NVIDIA Corporation
2024-05-21,95.3480453491211,95.36203971719499,93.14292188496431,93.56175387420163,328946000,NVDA,NVIDIA Corporation
2024-05-22,94.91222381591797,95.98179784206016,93.21190410961067,95.42102400934887,548648000,NVDA,NVIDIA Corporation
2024-05-23,103.75769805908203,106.27769095331759,101.47959800397635,101.98739908517513,835065000,NVDA,NVIDIA Corporation
2024-05-24,106.4266357421875,106.43263006008718,102.95901435352869,104.40743526760016,429494000,NVDA,NVIDIA Corporation
2024-05-28,113.85568237304688,114.89327138994341,109.83928330076252,110.200139728129,652728000,NVDA,NVIDIA Corporation
2024-05-29,114.77930450439453,115.44603890128045,110.85687001297053,113.00501693328442,557442000,NVDA,NVIDIA Corporation
2024-05-30,110.45602416992188,115.7729076045519,109.61935928526937,114.60437411424489,487350000,NVDA,NVIDIA Corporation
2024-05-31,109.5893783569336,112.6721508136538,106.89744915530943,112.47522298026993,613263000,NVDA,NVIDIA Corporation
2024-06-03,114.9542465209961,114.9542465209961,111.95843724915099,113.57579736127923,438392000,NVDA,NVIDIA Corporation
2024-06-04,116.39067077636719,116.55360793846174,113.99962416702796,115.66996458903934,403324000,NVDA,NVIDIA Corporation
2024-06-05,122.39127349853516,122.40026497481516,117.42125214406589,118.32389264410774,528402000,NVDA,NVIDIA Corporation
2024-06-06,120.94985961914062,125.53703068197429,118.27292371185669,123.99864153970435,664696000,NVDA,NVIDIA Corporation
2024-06-07,120.83989715576172,121.64357808503144,117.9750402689876,119.72233818274681,412386000,NVDA,NVIDIA Corporation
2024-06-10,121.74153900146484,123.05101529403815,116.9634422493321,120.32210586929361,314162700,NVDA,NVIDIA Corporation
2024-06-11,120.87181854248047,122.8311986310285,118.7024980632085,121.73153992527472,222551200,NVDA,NVIDIA Corporation
2024-06-12,125.16046142578125,126.83993122223963,122.53129467011104,123.02113780287401,299595000,NVDA,NVIDIA Corporation
2024-06-13,129.56906127929688,129.75900370548197,127.11983820063014,129.34912954939512,260704500,NVDA,NVIDIA Corporation
2024-06-14,131.83836364746094,132.79805198433587,128.27949016143847,129.91897171973997,309320400,NVDA,NVIDIA Corporation
2024-06-17,130.9386444091797,133.68777621457593,129.53909250074847,132.94801960039305,288504400,NVDA,NVIDIA Corporation
2024-06-18,135.5371856689453,136.28694881895896,130.64873054101508,131.0985853802292,294335100,NVDA,NVIDIA Corporation
2024-06-20,130.73870849609375,140.71555330717922,129.47911179878915,139.75586494370089,517768400,NVDA,NVIDIA Corporation
2024-06-21,126.53002166748047,130.58874447418714,124.2607420188684,127.07985099689417,655484700,NVDA,NVIDIA Corporation
2024-06-24,118.07270050048828,124.42069359285091,118.00272291214357,123.20107765857003,476060900,NVDA,NVIDIA Corporation
2024-06-25,126.05017852783203,126.46005271537233,119.28231977395795,121.16172334527805,425787500,NVDA,NVIDIA Corporation
2024-06-26,126.3600845336914,128.07953495276965,122.56128151904039,126.09016552830566,362975900,NVDA,NVIDIA Corporation
2024-06-27,123.95083618164062,126.37007763205357,122.88117444139863,124.06080204879507,252571700,NVDA,NVIDIA Corporation
2024-06-28,123.50099182128906,127.66967326811732,122.71124035711297,124.5406643452556,315516700,NVDA,NVIDIA Corporation
2024-07-01,124.26074981689453,124.80057257621507,118.79247599150393,123.43101009570317,284885500,NVDA,NVIDIA Corporation
2024-07-02,122.63125610351562,123.37102788557134,120.99177466417784,121.09174155643306,218374000,NVDA,NVIDIA Corporation
2024-07-03,128.23948669433594,128.23948669433594,121.32167392885506,121.62158223669927,215749000,NVDA,NVIDIA Corporation
2024-07-05,125.7902603149414,128.8093107644133,125.64030616479143,127.33976619453144,214176700,NVDA,NVIDIA Corporation
2024-07-08,128.1595001220703,130.72869561210538,126.99987051805138,127.44972531770834,237677300,NVDA,NVIDIA Corporation
2024-07-09,131.33851623535156,133.77774814549483,128.60936736242857,130.30884272059,285366600,NVDA,NVIDIA Corporation
2024-07-10,134.86740112304688,135.0573435645553,132.37818193596397,133.98767413246904,248978600,NVDA,NVIDIA Corporation
2024-07-11,127.35977172851562,136.10700106603016,127.00988377533271,135.70713347781276,374782700,NVDA,NVIDIA Corporation
2024-07-12,129.19920349121094,131.87835007397342,127.17983694866928,128.2195019014201,252680500,NVDA,NVIDIA Corporation
2024-07-15,128.39944458007812,131.34850999947517,127.13984031827107,130.5187702604364,208326200,NVDA,NVIDIA Corporation
2024-07-16,126.3200912475586,128.99923747826654,124.54065466054338,128.39943613379464,214769500,NVDA,NVIDIA Corporation
2024-07-17,117.9527359008789,121.81151749943197,116.68314033051901,121.31167540248971,390086200,NVDA,NVIDIA Corporation
2024-07-18,121.05175018310547,122.36134160725938,116.52318219941294,121.81151227341788,320979500,NVDA,NVIDIA Corporation
2024-07-19,117.89276123046875,121.56160051418016,117.33294050381654,120.31199523005621,217223800,NVDA,NVIDIA Corporation
2024-07-22,123.50099182128906,124.03082324772716,119.82215351609416,120.31199665772752,258068900,NVDA,NVIDIA Corporation
2024-07-23,122.55127716064453,124.65061999218881,122.06143405921047,122.74121959113289,173911000,NVDA,NVIDIA Corporation
2024-07-24,114.21391296386719,119.91210950952006,113.404171251323,119.13235710085017,327776900,NVDA,NVIDIA Corporation
2024-07-25,112.24453735351562,116.59316196631043,106.26643028982559,113.00429945804284,460067000,NVDA,NVIDIA Corporation
2024-07-26,113.02428436279297,116.16329189488403,111.54475613373563,116.15330054509556,293399100,NVDA,NVIDIA Corporation
2024-07-29,111.55475616455078,116.24327750097967,111.26485445843416,113.65409908515099,248152100,NVDA,NVIDIA Corporation
2024-07-30,103.6972427368164,111.95462852357666,102.50761612898444,111.48477574142504,486833300,NVDA,NVIDIA Corporation
2024-07-31,116.9830322265625,118.3026149583043,110.84497234726514,112.86433853836043,473174200,NVDA,NVIDIA Corporation
2024-08-01,109.1755142211914,120.12206115379604,106.77627053548454,117.49288673851923,523462300,NVDA,NVIDIA Corporation
2024-08-02,107.23611450195312,108.68566108330708,101.33798416873923,103.72722865674588,482027500,NVDA,NVIDIA Corporation
2024-08-05,100.41827392578125,103.37734584261189,90.66136171396138,92.03092417423306,552842400,NVDA,NVIDIA Corporation
2024-08-06,104.21707153320312,107.67597774031395,100.51824326819028,103.80719737509351,409012100,NVDA,NVIDIA Corporation
2024-08-07,98.87876892089844,108.76564515252367,98.65883717427215,107.7759522927054,411440400,NVDA,NVIDIA Corporation
2024-08-08,104.93685150146484,105.4666829061735,97.48919964896103,101.96778821260376,391910000,NVDA,NVIDIA Corporation
2024-08-09,104.7169189453125,106.5663331721716,103.39733611905241,105.60663726461745,290844200,NVDA,NVIDIA Corporation
2024-08-12,108.9855728149414,111.03492856386595,106.22644979571741,106.28642840966148,325559900,NVDA,NVIDIA Corporation
2024-08-13,116.10331726074219,116.19329280080893,111.54475995028979,112.4044889345572,312646700,NVDA,NVIDIA Corporation
2024-08-14,118.04270935058594,118.56254176631195,114.03397366865786,118.49256417906065,339246400,NVDA,NVIDIA Corporation
2024-08-15,122.82120513916016,123.20108240094191,117.43290774825016,118.722501320516,318086700,NVDA,NVIDIA Corporation
2024-08-16,124.5406494140625,124.96051491369623,121.14172188301305,121.901483949244,302589900,NVDA,NVIDIA Corporation
2024-08-19,129.95895385742188,129.95895385742188,123.38102959323889,124.24075866737762,318333600,NVDA,NVIDIA Corporation
2024-08-20,127.20980834960938,129.8389825507969,125.85023729264927,128.3594390228903,300087400,NVDA,NVIDIA Corporation
2024-08-21,128.4594268798828,129.30916459896468,126.62001151002669,127.27979915287139,257883600,NVDA,NVIDIA Corporation
